phrase,context,sentiment
Worked well,Hair cover. Worked well,1
Great as always,Peace and Quiet!. Great as always.,1
need extras of,As advertised.. Husband bought for greenhouse and reports they work great and as expected.  They are one of those things you need extras of apparently and the local stores only carry them seasonally.  So Amazon to the rescue!,1
a little pricey,Help your eyelashes come back faster will let you know how it works after 8 weeks. I was going to return one but it takes 6 to 8 weeks to notice a difference and I do want to have Fuller eyelashes and eyebrows so I'm going to give it a chance even though it was a little pricey my eyelashes deserve it,0
disappointing,Don't bother. Bypass this option for an American company version. It was very disappointing  inaccurately described  and no full refund on returns.,0
extremely pricey,Nice supplement but on the pricey side. On the plus side  I rarely eat breakfast in the morning and I easily can take one of these with no adverse stomach or heartburn side effects. In reading the ingredients  these appear to be chock full of almost everything my 60 year old body needs to be healthy and feel energetic. I have been taking them now for two weeks and I honestly do not feel different  but I am sure it is too soon to tell. On the negative side (hence the deduction of one star)  this is almost $50 for a little over 3 week supply. I find this extremely pricey and not something that I will continue taking once I have completed the bottle (unless I have a miraculous awakening that I do not feel currently). Thinking that Centrum Silver or One a Day for Women can fill most of this for a far more reasonable price.,0
super light,Love. This kimono thing looks really awesome. I really enjoyed the look of it. Super light  so it is great for warmer weather. It does come a little past my calves  but not quite to my ankles.,1
It holds all my granddaughter bath toys,Five Stars. This is just what I was looking for! It holds all my granddaughter bath toys.,1
love these for storing small items around the house,Perfect for many uses!!!. Great bags and great for multiple purposes. Not only are they great for refrigerated foods (cheese  fruits  vegetables) but I find them great for freezing food as well (works best if you squeeze all the air out before sealing the bag). Needless to say  they also work well for lunch bag use (although they may be a little large unless you are storing more than one sandwich). However  most of all I also love these for storing small items around the house. I have bags of nails and picture hangers in these out in the garage  spools of threads and pins in my laundry room  I use them in the bathroom for small cosmetic items and hair pins and the smaller children use them for crayons and picture puzzle pieces. I honestly can't say enough about the versatility and the great variety of things you can do with these Ziploc slider bags. Every house should have at least one box of them available at all times. Can be used for so many purposes.,1
stay put,Superb socks with extra cushioning stays in place while walking are also warm. I first bought a pair of these socks at REI for $27 and loved them. I wanted another color of the same sock so I purchased these. These socks are wonderful. They are slightly thick  sturdy  snug but not too tight  and feel fabulous on. They cushion my heel and bottom of foot and they do not move around like other socks  which helps prevent blisters. I walk a lot and these socks stay put even on a two-hour walk. I LOVE THEM.  One caveat  however. These socks must be an older model of the same sock that I purchased at REI. The reason I say that is because compared to the original sock I purchased  they are about two inches shorter. I then did some research and found a comparison chart for two of the same mountaineering socks by the same name. The only difference between the two models is that there's a slightly different fabric combination and it is not listed as quick drying.  To me both socks feel the same. I also ordered three more pairs. I now own five pairs of these socks and they are WONDERFUL! In fact  I love them so much that I ordered this [[ASIN:B01F47N7XK men's pair]] for my boyfriend. My boyfriend loves them as well. He wears them to bed.,0
soundtrack,Very Good. Excellent soundtrack for excellent series.,1
light green color,So smooth to write with. I bought these for my journal and loved all the colors and how well they write. The only color that doesn’t write the smoothest is the light green color.,0
larger size,Best pet carrier in the market today!. I have always used hard-sided carriers for my cat which tend to be bulky and difficult to store. I really was interested in trying a soft-sided one and I am glad I did! This is light weight and foldable so if you need to store it you can easily. Quality made  it assembles easily and has zippers that move smoothly and do not snag. My cat is eleven pounds and I got the larger size to give her a little more room and it works great for her. I highly recommend this soft sided pet carrier.,1
quality softness and warmth,Awesome Hat!. This is such a nice hat!! I was pleasantly surprised by the quality  softness and warmth! Better than expected. I may buy another just because! GREAT ITEM! BUY IT!,1
natural flavorings,fresh and soft. These are subtle licorice pieces. There are pieces that are predominately coconut. I like them.  My bag arrived with a distant &#34use by date&#34 and was soft and fresh. For me  I am so happy to read the ingredient list.  No red dye #40 or yellow #5 or 6.  Here is the ingredient list on the bag: Sugar  cane molasses  wheat flour  glucose syrup (contains sulphites)  desiccated coconut  palm oil  beef gelatin  corn starch  glycerol  natural colors (plain caramel  beetroot red  curcumin  paprika). fat reduced cocoa  licorice exctract  natural flavorings (aniseed  lemon  raspberry  vanilla  orange) glazing agent (beeswax) fruit and vegetable juices for coloring. Allergy alert: equipment shared with products that include peanuts  tree nuts  milk  egg  soy and wheat. NOT a health food.  But a delightful treat without harmful dyes still legal in the USA.,1
leaves skin feeling moisturized,Nice Exfoliation. My daughter is a huge fan of I Dew Care products. I ordered this for her  but I gave it a try first as I am a huge fan of body scrubs! This scrub has a waxy-like consistency. I found it best to rub it between my hands for a moment before applying it to my body. In doing so  it lathers a little bit and changes the consistency to something that won't glob onto your body. There is a good amount of grit to it  but it's not rough or scratchy. It actually does a nice job of exfoliating. I was hoping for a delicious coconut smell  but it's not. I can't pinpoint the actual scent  but it's very nice and pleasant. The scrub rinses well. Because of the waxy base of the scrub  it doesn't leave your skin feeling dry or stripped. There's no waxy build up either. I think my daughter will enjoy it. I was especially pleased with how it worked on my hands and elbows.,1
dinosaur designed on the outside,Great multivitamin  everything my grandson needs in a terrifc tasting gummy!. My 6 year old grandson loves taking his vitamins this way! Not only are they dinosaur designed on the outside  but the gummies are as well. I love that they contain most of the vitamins and supplements that he needs for his growing body in an easy to take gummy. Of course  with any gummies like this you need to keep them out of the little one's reach as I know mine would eat more of them if I didn't control them. Outside of that  it's a great way to keep his health optimal and I don't need to wrestle with him to take it  lol. Great idea  great multivitamin!,1
comfortable to fall asleep,Bringing sweet dreams. The sleep headphones are an awesome product!! I have a pair of my own and this pair was for my pregnant daughter who's been having problems sleeping  with the sleep headphones she's been able to block out excessive noise and relax to her choice of music while falling asleep comfortably. We both recommend this product 5 stars,1
expensive,"Decent  But Expensive Not Fully Functional on New Kindle Fire HD 8.9"" Tablet. CROSSWORDS by Standalone is a decent crossword puzzle app  but inflexible and expensive.  On my Kindle Fire HD 8.9"" tablet  the working display shows about two-thirds of a weekday NY Times puzzle grid  and I can't find any way to resize the grid to show the whole puzzle at once. (You must swipe down or hit an arrow button to reveal the lower one-third of the grid.)  The Across and Down clues appear alongside the grid in a readable typeface  but the clues are cut off at the right.  (Perhaps this is an 8.9"" Kindle Fire HD issue that the developer will correct fortunately  clicking on a cut-off clue will display the full clue below the grid.)  The puzzle hints--found under the list icon beside the app icon  at the left--don't always work as expected.  For example  ""reveal entire puzzle"" only filled in one word (for the 1-down clue) when I started from the ""hints for 1-down"" screen.  In contrast  ""reveal entire puzzle"" filled in the entire puzzle when I started from a ""press-and-hold-on-clue"" popup.  Worse  the general settings for navigation (e.g.  ""skip filled squares""  ""show mistakes"") don't seem to function at all.  (Perhaps this is another Kindle Fire HD issue for the developer to fix.)  The app allows you to enter multiple letters in a single square  and to look up puzzle info (must-haves for NY Times crossword solvers).  If you are a NY Times crosswords subscriber  the app will automatically download the daily puzzles for you.  The app comes with an assortment of puzzles already installed  and allows you to browse for and download many more puzzles from the Internet.  It also allows you to establish an account and compare your times with other solvers.  However  the FREE [[ASIN:B005U6QIMI Crosswords Plus]] app does nearly all of the same things.  (Crosswords Plus does not download your NY Times subscription puzzles automatically  although it makes it easy to download them daily it doesn't come with puzzles loaded  although it points you to free Internet sources and it doesn't have a feature for comparing scores with other solvers.)  In addition  [[ASIN:B005U6QIMI Crosswords Plus]] allows you to resize the grid  offers an alternate clues-only view  includes the usual hints options  and has navigational settings (skipping boxes  etc.) that are fully functional on the Kindle Fire HD 8.9"" tablet.  Even if this CROSSWORDS app worked perfectly  I would still prefer [[ASIN:B005U6QIMI Crosswords Plus]].  For this reason  and because of the high price and current Kindle Fire HD 8.9"" tablet issues  I rate CROSSWORDS at 3 stars.",0
Puts off a pretty shine of light,Good price. Great. Looks beautiful on house. Didn’t come with bulbs. Puts off a pretty shine of light.,1
comfy,Big  loose and comfy. Not sure what I thought I was getting  but I wouldn't use these for outdoor (or even in the gym) use. They are super comfortable  baggy/loose and are great for sleeping or just lounging around the house. I don't like the waist band  found it keeps rolling down when I wear them (have to keep pulling them up). I think they are soft and comfy  but not for me for yoga or any other type of sport (unless I am going to use them in my home).,1
used for multiple uses,Great value and used for multiple uses.. Yep  we use it for oiling the paper shredder  and for brake pads on our spin bike!  Great value for the product  don't need a lot to do the job!,1
didn't watch,Three Stars. THIS WAS ALSO A GIFT. . .DIDN'T WATCH IT. . .,0
only keep you warm if you sat in a sauna,Yikes. What you see is definitely not what you get.. Terrible  Low Quality material. Would have returned it but I already washed it. Material is much thinner than it appears in photo and would probably only keep you warm if you sat in a sauna. The photo material looks like a thick polyester material you would HOPE is inner lined with fleece. Keep dreaming.  The outer material is actually a cheap cotton tee shirt-like material with an abrasive texture on inside that mimics sweats but not quite.  After two washings  the hood ties are already fraying apart at the knotted ends and have almost completely faded  even while using Cheer color guard. They definitely overpriced this product for the quality you receive. Don't bother.,0
glucose syrup,fresh and soft. These are subtle licorice pieces. There are pieces that are predominately coconut. I like them.  My bag arrived with a distant &#34use by date&#34 and was soft and fresh. For me  I am so happy to read the ingredient list.  No red dye #40 or yellow #5 or 6.  Here is the ingredient list on the bag: Sugar  cane molasses  wheat flour  glucose syrup (contains sulphites)  desiccated coconut  palm oil  beef gelatin  corn starch  glycerol  natural colors (plain caramel  beetroot red  curcumin  paprika). fat reduced cocoa  licorice exctract  natural flavorings (aniseed  lemon  raspberry  vanilla  orange) glazing agent (beeswax) fruit and vegetable juices for coloring. Allergy alert: equipment shared with products that include peanuts  tree nuts  milk  egg  soy and wheat. NOT a health food.  But a delightful treat without harmful dyes still legal in the USA.,1
interesting plot,Better Than Average. There are so many mediocre movies out there that just aren't that good.  I thought this was a cut above that.  Sure it's a bit predictable and it's not exactly non-stop action that takes your breath away  but it has an interesting plot and it moves along well.  The actors all do a good job and are convincing in their roles.  Eva Longoria seems a bit out of her league and her character doesn't develop into that much  but she sure is easy on the eyes.  She's okay  but they could have done a bit more with her character.  It's not a 5-star movie  but there was never a boring moment for me.  Do you want to own it? perhaps not.  Probably better as a one time rental  although it's entertaining enough to watch over again  once in a while.,1
gorgeous photos of street scenes,A gorgeous introduction to a marvelously diverse cuisine!. When I think of Malaysian dishes  it’s the spicy  layered flavors of Norman Musa’s “Amazing Malaysian” that I think of. It opens with street food and snacks  and moves on to seafood  meat  vegetables  rice and noodles  pudding and drinks  and the Malaysian pantry. Gorgeous photos of street scenes in Malaysia pepper the pages  while the gold-embossed cover looks great sitting out on a table or countertop.  You'll find street snack favorites like chicken satay  net pancakes  roti canai  and fried spring rolls  along with Indian lentil patties  grilled fish paste in banana leaf  tofu stuffed with crunchy vegetables  and the gorgeous Kak Besah’s curry puffs. The seafood dishes reminded me of many preparations I had last year while working in Taiwan whole fish steamed with lemongrass  ginger and chilies  squid stir fry  and scrambled eggs with oysters. The meat dishes featured are mostly chicken and beef (no pork unlike Ping’s book)  with lamb curry  beef rendang  and numerous chicken dishes.  One of my new favorite recipes is the Nyonya Vermicelli Noodle Salad  which features rice noodles  tofu beansprouts  and ginger with plenty of lime juice and fresh herbs (if you are vegetarian  leave out the shrimp paste and prawns). I also loved the Malay Vegetable Dhal Curry  pumpkin in turmeric and coconut milk  and eggs in chili sambal (think shakshuka).  Rice and noodle dishes include tomato rice (nasi tomato)  wok-fried flat noodles  curry laksa  chicken rice  herbal rice  and several egg-fried rices in addition to fried noodles. Desserts range from the effortless (fresh mango  honey and coconut  tropical fruit salad) to the more elaborate (pandan custard and sticky rice layered sweet  sticky rice balls  soy panna cotta with passion fruit and crushed chocolate cookies. And you’ll find any number of refreshing drinks  from lemongrass and honey tea and rose syrup drink to pulled sweet tea and iced fresh lime juice.  At the end are several staple condiments  from the ubiquitous chili paste and ginger soy sauce  to sambals (chili  coconut)  sauces  and vegetable pickles.  Norman Musa’s recipes tend to be a bit more advanced but also result in more complex  nuanced flavors. This is a gorgeous introduction to a marvelously diverse cuisine!,1
lots of fruit,Great for your plants.. I love this product and it is $2.00 cheaper than Lowes and $1.00 cheaper than Walmart. I will order 3 next time  since I am a flower person. All my plants do great from feeding them every week to 10 days. In Florida I use it on my flowering trees even my Avocado tree  who has lots of fruit. The tree is so beautiful with large leaves  even I do not like avocadoes.,1
pad underneath is really Cushiony,Very easy to fold up. About the pad that goes underneath it makes it really Cushiony,1
feel clean and fresh after every use,A great new addition to my skin care regime!. This is my new favorite body wash! I have been using Dove for years now  but this exfoliating body wash really has made a difference in my skin! After using it for almost a month now  my skin is radiant  softer and smoother than it has been in years. I typically use exfoliators for my face  but when it came to my body I never tried using them. I love the way my skin feels and looks  and the fragrance is light and lasts nicely. As far as the bodywash component  I feel clean and fresh after every use. No complaints  only praise for a great exfoliating body wash!,1
may need to size up,"Very Flowy. This top is very pretty and can easily be dressed up or down. The fabric is lightweight and has no stretch. If you're a larger cup size  you may need to size up. For fit reference  I'm 5'6""  153lbs and a 34G bra size. The X-Large would have been ideal.  Thanks so much for taking the time to read this review. I hope the information that I've provided makes your decision a little easier.",0
soft and comfortable,Great dog bed  my puppy loves it!. This is a perfect bed for my 4 year old Aussie Shepherd mix dog. She is 35 lbs and this large size fits her perfectly. Soft and comfortable for her  she loved it from the minute I opened the box. And it is easy to clean. As an fyi  I don't crate my dog so I am using this as a standalone bed. However   I know that if I used this in a crate it would make crating far more comfortable as well. The color is great  too  and makes a nice addition to my living room as a comfortable place for her to sit (instead of sitting on the couch with me  lol). Because of this  it saves potential damage to my furniture and Roxie absolutely loves this bed. Kudos to MidWest Homes to a great dog bed!,1
sturdy,A flawless mold. I love this thing. It's really well made and sturdy. Honestly  this is the best mold I've ever purchased. 10/10 worth it.,1
relatable,Fun. This song is just fun.  From the words to the music.  It is very lyrical as far as the singing goes.  It is just fun and relatable.,1
wash beautifully,Floral tank dress with pockets. Oh man.. these dresses are the cat's meow.  I bought 2 and came back to order 2 more.  I am 5'7&#34... 38DDD  usually wear a 14/16 or 0x/1x.  The XX fits me perfectly. I am a little busty so it's sort of empirish.. but doesn't look maternity.  And the best part?? POCKETS ladies!! Oh yes.  Lovely pockets that don't stick out. Just handy.  I wear them over my swimsuits... I dress them up with jewelry... and/or a jacket.  The prints are vibrant and clear.  The wash beautifully (I wash on delicate and tumble dry on &#34low&#34).  If you try one  you'll come back for more I bet.  This dress would fit a wide range of body types in my opinion. Further  as I travel a fair amount  they pack so nicely  without wrinkles!  Love love love. And I rarely get to say that about clothes of any kind. UPDATE:  10/3 ...  I've gone back to order 2 other prints.  They wash beautifully.  Wear so comfortably.  The pockets are the key. Would love if they would come up with a sleeved version!,1
Mrs. Henry collapses,Very Enjoyable Period Mystery about Female Botany Graduate Studen. In this delightful debut  A Botanist's Guide to Parties and Poisons introduces us to Saffron Everleigh  the only female working in the University College London Biology Department.  She is the assistant to Professor Maxwell  a botanist. He is an old family friend  who assigns Saffron substantive work and mentors her  an unusual experience for many assistants and exceptional for a woman in this position. Five years ago  Saffron's father  also a botanist  died in WWI. The novel opens in the roaring Twenties. The University has recently secured funding for an interdisciplinary South American expedition.  While Professor Maxwell was not included on the team  Saffron is assisting him in preparing the documentation necessary for a research project to be conducted on his behalf. The book opens with a party to celebrate the upcoming six-month expedition. Dr. Henry  a history professor who will lead the expedition and well-known philanderer is there with his long-suffering wife. Saffron chats up various people  with mixed success. She decides to take her leave  feeling rather invisible as the only female scientist at the party and serving on the lowest rung of professional staff. She happens upon Mr. Ashton  a young biologist as she is heading down a hallway to make her farewells. As they chat  the two inadvertently overhear Mrs. Henry having a highly personal conversation with their hostess. When she makes her way to the room where the party has gathered  Saffron finds celebratory speeches underway. She approaches her hosts to thank them just when another round of champagne is being poured.  Very near Saffron  Mrs. Henry takes one sip of champagne and collapses  to be carried away by ambulance in grave condition. Khavari does a lovely job establishing Saffron as a curious and competent investigator  working to point out poison related information to the police investigating Mrs. Henry's apparent poisoning checking out a decent array of suspects pulling in others to help with her dangerous enquiries giving us a nice feel for several years post-war London life and academia throwing in a possible romance and keeping it light enough to be a cozy and accurate enough to be a pleasing historical fiction piece. The clues are there  not too clear cut  the red herrings are decent and the setting is well wrought. This one is a win for me!  I will definitely look for the next Sapphron Everleigh installment  with pleasure.,1
Amazon gift card,Who doesn’t love a gift card?. An Amazon gift card is the perfect gift for anyone young to old  I dig how Amazon packages the card and mails it snail mail so that I do not have to! Electronic e-gift cards rule too  but more often than not  I prefer to have a physical card mailed to the recipient.,1
just ordered the mustard seed pendant,my favorite gift i bought for me. Craftsmanship superb and love the fact its handmade.  I have lots of jewelry.  It sets in special boxes and beautiful containers.  This i want to wear all the time.  I just ordered the mustard seed pendant.  I also make my own jewlery.  Wish i had made it!,1
Great fabric,A little small but great quality. Very cute  top fits a bit small and short are kinda a low rise fit... but I love it anyway! Great fabric  well made,1
way more affordable,Great Fit!. This replacement brush heads are a great fit on my Oral B Pro Limited toothbrush. They are way more affordable than the Oral B ones. They work well  too. I am very pleased with them. My only issue is that they're not labeled well in my opinion. They have a code on them which identifies what they are  but that doesn't help unless you know the codes. I want to be able to quickly know which one is the softer  sensitive one VS which on is the deep clean. I think I'm just going to have to look them up and write on the packaging.,1
gardening,"Essential for Decorating Tips!. If you are looking for ideas for that next decorating project  more than likely you can find at least one article each month to inspire you. With a focus on friends and family  gardening  interior design  building  family matters  flood  good health and shopping  you can't go wrong!  I like the ""Yours for the Asking"" section where you can send away a postcard for more information instead of contacting each company.  For mom's  the ""kids project"" section will be amusing and your kids will love the ideas.  The cartoons are also cute and I had to laugh at the one that said: ""Of course I love you. Didn't you get my fax?""  Something about the pictures in this magazine always remind me of a bright sunny day. The open kitchens and lush gardens are just a treat to see.  The recipe section really has a personality all of its own. The ""Petite Caramel Apple"" recipe they had in the September 2001 issue was so adorable!  I look forward to every issue!  ~The Rebecca Review",1
easy to put together,Five Stars. I like how easy this was to put together. I also love all the compartments it features.,1
VERY happy,I was negative about these originally because of the HUGE Shipping price  BUT.... now that the almost $20 shipping charge has been corrected from what showed on my Amazon screen to a very reasonable amount   I am VERY happy with them and my cats LOVE them.,1
quick drying,Superb socks with extra cushioning stays in place while walking are also warm. I first bought a pair of these socks at REI for $27 and loved them. I wanted another color of the same sock so I purchased these. These socks are wonderful. They are slightly thick  sturdy  snug but not too tight  and feel fabulous on. They cushion my heel and bottom of foot and they do not move around like other socks  which helps prevent blisters. I walk a lot and these socks stay put even on a two-hour walk. I LOVE THEM.  One caveat  however. These socks must be an older model of the same sock that I purchased at REI. The reason I say that is because compared to the original sock I purchased  they are about two inches shorter. I then did some research and found a comparison chart for two of the same mountaineering socks by the same name. The only difference between the two models is that there's a slightly different fabric combination and it is not listed as quick drying.  To me both socks feel the same. I also ordered three more pairs. I now own five pairs of these socks and they are WONDERFUL! In fact  I love them so much that I ordered this [[ASIN:B01F47N7XK men's pair]] for my boyfriend. My boyfriend loves them as well. He wears them to bed.,1
stocking stuffers,It IS Perfect!!. I'm 62 and love this primer. That's why I'm here searching for more. If the price is right I may pick up a couple more for stocking stuffers.,1
compresses,This is very supportive. I do find it is a little snug  but it's supports very well.  I can't say if the copper does anything extra or not  but it is definitely snug and compresses.,1
bright and colorful,Fits perfectly. Bright and colorful. Purchased as a gift and it fit recipient's A11 like a glove. Its not going to provide the protection that some of the more serious  higher priced cases do  but something is better than nothing.,1
nostalgia trip,A Book That Stirs Memories.... Occasionally I finish a book that leaves me not wanting begin another  at least for a little while  because it really stays with me .I did not want to ruin the stirring feelings I had upon completing Nine  Ten. (This is out of the ordinary for me  as I normally start on another book the minute I finish one.)  It took me back to Before...My boys were four and two...and I remembered how different America was when they were small on September 10th...before.   Nine  Ten reminded me of what it's like to read historical fiction  good historical fiction  about the Titanic. When an author does as wonderful a job writing about a major event as Baskin does  you do not want to stop reading  even though you know what's coming. Even the author notes and  the acknowledgements  were heart- rending.   I have already recommended Nine  Ten to several people. I think this book would be a wonderful way to teach others about 9-11.It will probably be a nostalgia trip for parents of today  most of whom will remember Before...and how it was so different.,1
CD had copied meta data,"Many  Many Issues and Possibly a Fake Reproduction.. 3 of the 14 discs in this collection did not play in multiple CD players and would either not play at all or skip entirely. CD cover art and programs full of misspelling and/or incorrect information on mulitple albums  Box set was torn and I ordered as new. One CD had copied meta data so even though I was playing ""Please Please Me"" Album all the songs titles and album art displayed were from the ""Rubber Sole"" Album.  I truly believe the is a fake reproduction of the box set because there are just so many errors throughout this Beatles Box Set.",0
not bulky but still offers adequate protection,Great OtterBox Phone Case!. This case lives up to the OtterBox name. It fits well without interfering with the operation of the phone. The two tone colors is attractive. The phone case is comfortable to hold and easy to grip. It's not bulky  but still offers adequate protection. The only criticism that I have is that I find the little flap that covers the charging port to be annoying.,1
still going strong,Great!  This water flosser works great!. This water flosser works great! It does a great job of cleaner between teeth without irritating gums.  It has been in use for several months now and is still going strong.  I recommend this dental flosser  especially if you have braces or implants,1
disappointing,Don't bother. Bypass this option for an American company version. It was very disappointing  inaccurately described  and no full refund on returns.,0
candied cherry tomatoes,Fantastic blend of complete menus  seasonality  and international flavors. My friend and James Beard Award-winning cookbook author Meike Peters recently released her latest cookbook “365: A Year of Everyday Cooking and Baking” and graciously sent a copy to me here in Japan  where I eagerly pored over the gorgeous food photography with its tantalizing  jewel-like salads.  Meike’s cooking is very much guided by the seasonal calendar  and in “365”  you’ll find a year’s worth of complete menus (including salads  soups  pasta  sandwiches  vegetables  seafood  meat and sweets) that make the most of seasonal produce  marrying them with a range of international influences including hearty German fare  Middle Eastern  and Mediterranean flavors and inspirations.  With the falling of the leaves and the arrivals of colder weather and flurries  the recipes featuring bright  sunny citrus are a welcome respite. Dishes like Winter Caprese with Blood Orange  Beet and Mozzarella di Bufala  Spaghetti with Ricotta  Orange and Crispy Sage Chocolate and Orange Pannetone  and Sicilian Orange Salad with Olive Oil  Marjoram  and Flaky Sea Salt are sure to stave off winter colds and chase the winter blahs away with the generous amount of vitamin C.  Others like Potato and apple-stuffed cabbage rolls with Walnut Butter and Gruyere  German beef  beet and potato stew  and Grilled Cheese Sandwich with Shallots and Apple  provide stick-to-your-ribs comfort.  The salads are a particular delight  including the rainbow potato salad with radishes  shallot vinaigrette and poached eggs  beet and apple carpaccio with pomegranate  raw asparagus and peach salad with orange blossom water and pecorino  and rainbow potato and cucumber salad with dill-pistachio pesto that will bring a splash of color (and flavor!) to overcast days.  Seasonal ingredients are given light-handed treatments that allow their individual textures and delicate flavors to shine  like fresh strawberries with saffron-vanilla sugar  watermelon caprese with mozzarella di bufala  basil and mint  and squash pasta with orange  maple and sage.  If you are someone who  like me  can never seem to come up with a complete menu  that’s one of the beauties of 365: You can also use the weekly menu planner to come up with a seasonal balanced meal by combining the various options for a given week.  I was absolutely intrigued by the idea of candied cherry tomatoes slow roasted and tossed with olive oil  confectioner’s sugar  and herbs  they dissolve into a silky confit that is the perfect complement for fresh pasta and tiny basil. Plus the leftover oil and tomatoes make a fantastic dipping oil!  Measurements and temperatures are provided in both US / Imperial and metric.  This has become one of my favorite cookbooks of the last several years highly recommended.,1
gift for my mother,greatest hits. Bought it as a gift for my mother for Christmas  it was a big hit. She loves it and plays it all the time,1
educational,Best Food Connection Magazine!!!. The magazine is very educational as well as great menus that are very easy to follow. Would highly recommend to anyone that enjoys food with prep that is easy and ending result is delicious!!!,1
sizing off,Nice product  sizing off!. Product is well made  but sizing seems way off for women. I purchased the XS for women's size 6  and they are so tight that my toes are bent under and the ankle opening is unbearably  circulation-cuttingly tight. They looked like doll's socks  for real. Sent them back for a size small instead. My husband's XL fit perfectly for his size 10.5 shoes! Snug  but not uncomfortably so.,0
good product,Five Stars. good product I was pleased.  buy some seeds to go with it,1
riding challenges,A great game that brought back a lot of fond summer memories. I used to take riding lessons as a kid  and even now I can still remember the excitement of caring for and riding such wonderful horses. &quotHorse Illustrated: Championship Season&quot is as close to the real thing as you'll get: you get to groom  feed  tack and ride four different horses depending on skill level. On top of caring for your horse  you also have the option to watch several videos on equine care  first aid  and riding techniques. As if that wasn't enough  the game has a scavenger hunt and a trivia game as well. There are three different types of riding challenges: dressage  cross country and show jumping. There are four skill levels based on accumulated points (earned by completing the scavenger hunt  correct trivia answers  caring for and riding your horse. The courses become more difficult as you progress. The scenery is varied for each course and the music is pleasant enough. The four horses each have different strengths and personalities and respond a bit differently to each jump. There's even a commentator for all three challenges. The controls were easy to master and the highest difficulty level still eludes me  so there is plenty of learning curve and opportunity for replaying &quotChampionship Season.&quot The barn area was very well conceived--I could practically smell the hay and horse manure in the summer heat. The lounge area had a fridge  microwave  VCR and cupboards full of things to explore. The tack room had several saddles  bridles  and books to read  and in the feed room you get to sort out the exact amount of the proper feed (hay  corn  alfalfa) for your horse. You also clean stalls and water the horses. There are five stalls  the last occupied by a goat. Each horse has its own colour (Barney=red  Blaze=blue etc.) as do the stalls and bridles. This is a great game for kids (or adults!) who love horses and teaches some basics about horse anatomy and care  grooming (including how to braid manes and tails)  and stresses regular feedings and stall cleanings. Perfect for the child that begs for a horse...this teaches some degree of responsibility about how much work is involved in caring for a horse.,1
gum massaging nubs,"Excellent infant teether with gum massaging nubs drop resistant. There is one BPA-free silicone teether in this package. The silicone is super soft. I consider this cute and engaging. This is easy for the baby to grab and hold onto. It has no sharp edges or parts that can fall off. This is perfect as a teether and is one solid piece. I also love that the opposite side has nubs which act as a gum massaging / tooth cleaning ""tool."" As is typical  always supervise when the baby is using this. This is rated for 0 to 6 months.  This is made in China. The current price of $7.99 is competitively priced for this. It also comes in a nice giftable box. Overall  I consider this a great teether that is drop resistant and small enough for newborns. I had given one like this to my neighbor's infant and he absolutely loved it.",1
extra embellishments,High quality paper and printing. Highly recommended! Graphic 45 never disappoints. With their delux kits you get extra embellishments,1
no leaks,Really nice full face snorkel mask!. I have never tried a full face snorkel mask before (used to only covering my eyes with a foggy mask and have pipe which goes in my mouth). This was a little awkward to get used to but now I really like it. It fits well  no leaks  not overly constrictive on my face and I can snorkel for hours. I love the full viewing capability I get with this full face mask and I also love that it is GoPro compatible (I am planning to buy a GoPro camera in September when I go to the Caribbean). I will update this review to speak to the GoPro matching capability after I return. But  for a snorkel mask  this is really a great one!,1
shaped to be a like a defense shield,"Aromatic bars of ""Soap Shields"" that gently scrub & cleanse. These small bars of soap smell really good and perform well in terms of cleansing and not leaving skin feeling stripped. I like that they are made in USA  handmade in Ohio. These are not fancy soaps. They are small  but they are not necessarily travel sized. They just have a good size and shape that fits perfectly into the hand. That stood out to me on first use. I really like how well it fits in my hand. The bars are tear dropped or pear shaped. More specifically  it is shaped to be a like a defense shield. Get it?  As this is meant to be a bit of an immune defense/support item.  The bars are thin  but not fragile. I can palm it and easily rub it all over without it falling out of my hand. I have been using one bar on and off for a couple of weeks now  and it isn't just disappearing. There are six loose bars in a resealable bag.  The soap has a slight intentional grit to it . This adds some scrubbing action. Creates a nice lather and rinses well. The scent is an intriguing mix of essential oils. Clove  Cinnamon  Oregano  Peppermint  Parsley  Eucalyptus and Rosemary essential oils Not overpowering. Really quite nice.  It has been an odd  but unexpectedly pleasant product to use. The price is budget friendly. I find nothing bad about them or my experience so far. I may consider them again when I run out. I really think they are worth the try.  ""CLEAN INGREDIENTS - Our formula just 8 simple ingredients. Free from harsh chemicals that damage your skin like Sulfates  phthalates  parabens  or synthetic fragrances. It’s Vegan and never tested on animals.""",1
handsome bear,Very handsome bear!. Good cuddle-bear!,1
one unique brush for cheek highlighting,PU case really smells brushes are okay two brush heads frayed. There are 14 brushes in this set. There are brushes for foundation  blush  eyeshadow  eye blending (fan brush)  etc. In fact  there are more brushes than I needed.   The one unique brush in this set (see photo) is the one that looks like a paint brush. This is perfect for cheek highlighting.  The bristles are relatively soft but not as soft as I expected. They feel pretty good against my skin but not great. Also  the heads have a slight odor. The PU brush case has a tremendous chemical odor and needs to be aired out a while.  This is a bargain basement travel set for someone who is starting their make-up journey. The current price of $11.19 comes to $.80 cents per brush. In this case one gets what they pay for it's a marginal price for a marginal quality set that is functional. ,1
emotional,Good read. New author to me. This is a great read..emotional and heartwarming.,1
